"symbol","date","open","high","low","close","volume","adjusted"
"MSFT34",2010-12-09,1.938333,1.952916,1.9375,1.9375,1327200,1.525401
"MSFT34",2010-12-10,1.954166,1.979583,1.954166,1.979583,1346400,1.558534
"MSFT34",2010-12-13,1.979583,1.979583,1.979583,1.979583,0,1.558534
"MSFT34",2010-12-14,1.979583,1.979583,1.979583,1.979583,0,1.558534
"MSFT34",2010-12-15,1.992083,1.992083,1.992083,1.992083,2400,1.568374
"MSFT34",2010-12-16,2.009166,2.009166,2.009166,2.009166,2400,1.581824
"MSFT34",2010-12-17,1.981666,2.026666,1.981666,2.026666,16800,1.595602
"MSFT34",2010-12-20,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2010-12-21,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2010-12-22,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2010-12-23,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2010-12-27,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2010-12-28,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2010-12-29,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2010-12-30,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2011-01-03,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2011-01-04,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2011-01-05,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2011-01-06,2.026666,2.026666,2.026666,2.026666,0,1.595602
"MSFT34",2011-01-07,2.03375,2.03375,2.03375,2.03375,2400,1.601179
"MSFT34",2011-01-10,2.03375,2.03375,2.03375,2.03375,0,1.601179
"MSFT34",2011-01-11,2.03375,2.03375,2.03375,2.03375,0,1.601179
"MSFT34",2011-01-12,2.03375,2.03375,2.03375,2.03375,0,1.601179
"MSFT34",2011-01-13,1.980416,1.980416,1.980416,1.980416,2400,1.559189
"MSFT34",2011-01-14,2.005,2.005,2.005,2.005,2400,1.578544
"MSFT34",2011-01-17,2.005,2.005,2.005,2.005,0,1.578544
"MSFT34",2011-01-18,2.005,2.005,2.005,2.005,0,1.578544
"MSFT34",2011-01-19,1.981666,1.981666,1.981666,1.981666,1274400,1.560173
"MSFT34",2011-01-20,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-01-21,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-01-24,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-01-26,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-01-27,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-01-28,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-01-31,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-01,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-02,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-03,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-04,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-07,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-08,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-09,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-10,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-11,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-14,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-15,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-16,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-17,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-18,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-21,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-22,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-23,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-24,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-25,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-02-28,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-01,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-02,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-03,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-04,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-09,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-10,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-11,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-14,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-15,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-16,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-17,1.981666,1.981666,1.981666,1.981666,0,1.560173
"MSFT34",2011-03-18,1.981666,1.981666,1.981666,1.981666,0,1.560173
